# Executable-code span locality per corpus ROM, measured 2026-08-05.
#
# Produced by examples/probe_code_span_locality.rs. Clusters JR RA
# (0x03e00008) sites into spans, splitting on gaps > 0x40000, and reports
# what fraction of them fall in the largest span.
#
#   SINGLE_BANK          >=95% in one span  232 ROMs
#   MOSTLY_SINGLE_BANK   >=80% in one span   23 ROMs
#   MULTI_SPAN           otherwise           32 ROMs
#
# WHY THIS IS WORTH RECORDING ONCE: DiscoveryStrategy::BootBankOnly
# (lib.rs:885) is a single verdict covering both 'this ROM has no overlays,
# nothing to find' and 'this ROM has overlays we failed to find'. This is a
# PERMANENT property of the ROM, so it separates the two:
#
#   NO_CANDIDATES and single/mostly-single bank   208  <- COMPLETE
#   NO_CANDIDATES and genuinely MULTI_SPAN         21  <- real misses
#
# The remaining overlay-discovery gap is therefore ~21 ROMs, not 229.
# Cross-check against corpus-zero-admitted-cause.tsv reproduces this.
class	rom	detail
MOSTLY_SINGLE_BANK	1080 TenEighty Snowboarding (Japan, USA) (En,Ja)	jr_ra=2988 spans=4 concentration=0.84 largest=[0xdd0a6c,0xe5a368)
MOSTLY_SINGLE_BANK	Body Harvest (Europe) (En,Fr,De)	jr_ra=3405 spans=6 concentration=0.88 largest=[0x878,0x1967cc)
MOSTLY_SINGLE_BANK	Chameleon Twist 2 (USA)	jr_ra=2638 spans=2 concentration=0.94 largest=[0x878,0xc73e0)
MOSTLY_SINGLE_BANK	Conker's Bad Fur Day (U) [Trad-FR]	jr_ra=719 spans=2 concentration=0.93 largest=[0x97c,0x3bd70)
MOSTLY_SINGLE_BANK	Conker's Bad Fur Day (Uncensored)	jr_ra=719 spans=2 concentration=0.93 largest=[0x97c,0x3bd70)
MOSTLY_SINGLE_BANK	Dinomod_Enhanced_2022-09-08	jr_ra=11589 spans=2 concentration=0.84 largest=[0x38319c4,0x3b0d278)
MOSTLY_SINGLE_BANK	Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es)	jr_ra=543 spans=4 concentration=0.95 largest=[0x878,0x1f214)
MOSTLY_SINGLE_BANK	Hybrid Heaven (USA)	jr_ra=1056 spans=2 concentration=0.90 largest=[0x878,0x37284)
MOSTLY_SINGLE_BANK	Indy Racing 2000 (USA)	jr_ra=3074 spans=2 concentration=0.82 largest=[0x856efc,0x9c0cfc)
MOSTLY_SINGLE_BANK	International Superstar Soccer 2000 (Europe) (Fr,It)	jr_ra=13325 spans=2 concentration=0.83 largest=[0x25ac20,0x581174)
MOSTLY_SINGLE_BANK	John Romero's Daikatana (Europe) (En,Fr,De)	jr_ra=2066 spans=3 concentration=0.85 largest=[0x878,0xec8f4)
MOSTLY_SINGLE_BANK	Legend of Zelda, The - Majora's Mask (Europe) (En,Fr,De,Es) (Rev A)	jr_ra=626 spans=4 concentration=0.84 largest=[0x97c,0x17b94)
MOSTLY_SINGLE_BANK	NBA Jam 2000 (USA)	jr_ra=1847 spans=2 concentration=0.93 largest=[0xe8bf20,0xfc8a58)
MOSTLY_SINGLE_BANK	Off Road Challenge (USA)	jr_ra=1513 spans=2 concentration=0.85 largest=[0x878,0x6c760)
MOSTLY_SINGLE_BANK	Perfect Dark (Europe) (En,Fr,De,Es,It)	jr_ra=67 spans=2 concentration=0.88 largest=[0x97c,0x3010)
MOSTLY_SINGLE_BANK	Quest 64 (USA)	jr_ra=1020 spans=4 concentration=0.89 largest=[0x878,0x4c144)
MOSTLY_SINGLE_BANK	Rampage - World Tour (USA)	jr_ra=3527 spans=2 concentration=0.89 largest=[0x878,0x76e34)
MOSTLY_SINGLE_BANK	Shadow Man (France)	jr_ra=2915 spans=2 concentration=0.82 largest=[0x1dad944,0x1e6f230)
MOSTLY_SINGLE_BANK	Snowboard Kids 2 (USA)	jr_ra=3057 spans=2 concentration=0.85 largest=[0x878,0xb7dbc)
MOSTLY_SINGLE_BANK	Super Mario 64 (Europe) (En,Fr,De)	jr_ra=5050 spans=2 concentration=0.84 largest=[0x878,0xd8394)
MOSTLY_SINGLE_BANK	Super Mario 64 (USA)	jr_ra=5198 spans=2 concentration=0.84 largest=[0x878,0x102d00)
MOSTLY_SINGLE_BANK	Transformers - Beast Wars Transmetals (USA)	jr_ra=3695 spans=3 concentration=0.94 largest=[0x878,0xe55bc)
MOSTLY_SINGLE_BANK	Wave Race 64 (USA) (Rev A)	jr_ra=1541 spans=2 concentration=0.88 largest=[0x878,0xcae64)
MULTI_SPAN	Battlezone - Rise of the Black Dogs (USA)	jr_ra=5167 spans=3 concentration=0.72 largest=[0xdfe34,0x18c37c)
MULTI_SPAN	Big Mountain 2000 (USA)	jr_ra=1468 spans=2 concentration=0.59 largest=[0x878,0x7670c)
MULTI_SPAN	Castlevania (Europe) (En,Fr,De)	jr_ra=5096 spans=3 concentration=0.72 largest=[0x878,0xee9b4)
MULTI_SPAN	Castlevania - Legacy of Darkness (Europe) (En,Fr,De)	jr_ra=6292 spans=2 concentration=0.64 largest=[0x878,0x10e584)
MULTI_SPAN	Command & Conquer (Europe) (En,Fr)	jr_ra=4039 spans=2 concentration=0.64 largest=[0x878,0x90d6c)
MULTI_SPAN	Deadly Arts (USA)	jr_ra=2686 spans=5 concentration=0.66 largest=[0x352844,0x4ac0cc)
MULTI_SPAN	Dezaemon 3D (Japan)	jr_ra=1392 spans=9 concentration=0.58 largest=[0x878,0xcd5d4)
MULTI_SPAN	GT64 - Championship Edition (USA)	jr_ra=2238 spans=2 concentration=0.68 largest=[0x878,0x66ce0)
MULTI_SPAN	International Superstar Soccer '98 (USA)	jr_ra=8245 spans=2 concentration=0.58 largest=[0x878,0x13dcf4)
MULTI_SPAN	International Superstar Soccer 64 (USA)	jr_ra=6344 spans=2 concentration=0.52 largest=[0xdd5d8,0x1ed0a8)
MULTI_SPAN	Jeremy McGrath Supercross 2000 (USA)	jr_ra=272 spans=2 concentration=0.74 largest=[0xe02bb8,0xe6b6b4)
MULTI_SPAN	Jet Force Gemini (Europe) (En,Fr,De,Es)	jr_ra=3451 spans=2 concentration=0.60 largest=[0x97c,0xa1210)
MULTI_SPAN	Knife Edge - Nose Gunner (USA)	jr_ra=1210 spans=6 concentration=0.55 largest=[0x878,0x42950)
MULTI_SPAN	Legend of Zelda, The - Ocarina of Time (Europe) (En,Fr,De) (Rev A)	jr_ra=199 spans=5 concentration=0.75 largest=[0x97c,0x7194)
MULTI_SPAN	Mickey's Speedway USA (Europe) (En,Fr,De,Es,It)	jr_ra=2545 spans=2 concentration=0.65 largest=[0x97c,0x79960)
MULTI_SPAN	Mischief Makers (USA) (Rev A)	jr_ra=5407 spans=2 concentration=0.54 largest=[0x67dc20,0x7eadd0)
MULTI_SPAN	Mystical Ninja Starring Goemon (Europe)	jr_ra=1841 spans=3 concentration=0.76 largest=[0x878,0x55314)
MULTI_SPAN	NBA in the Zone '99 (USA)	jr_ra=3820 spans=2 concentration=0.74 largest=[0x878,0xc8a6c)
MULTI_SPAN	NBA in the Zone 2000 (USA)	jr_ra=4095 spans=2 concentration=0.56 largest=[0xb3864,0x1594ec)
MULTI_SPAN	Paper Mario (Europe) (En,Fr,De,Es)	jr_ra=12549 spans=3 concentration=0.52 largest=[0x84cf90,0xe9e380)
MULTI_SPAN	Pokemon Snap (France)	jr_ra=4729 spans=18 concentration=0.33 largest=[0x86c,0x63930)
MULTI_SPAN	Pokemon Stadium (France)	jr_ra=8361 spans=3 concentration=0.74 largest=[0x1087f4,0x3ac370)
MULTI_SPAN	RR64 - Ridge Racer 64 (USA)	jr_ra=1110 spans=13 concentration=0.72 largest=[0x878,0x80254)
MULTI_SPAN	Roadsters (USA) (En,Fr,Es)	jr_ra=892 spans=2 concentration=0.75 largest=[0x878,0x63354)
MULTI_SPAN	Sin and Punishment - Successor of the Earth (Japan) [Trad-En]	jr_ra=6295 spans=10 concentration=0.34 largest=[0x878,0xbb644)
MULTI_SPAN	South Park - Chef's Luv Shack (USA)	jr_ra=293 spans=2 concentration=0.75 largest=[0xedbeb8,0xf53384)
MULTI_SPAN	SpaceStation Silicon Valley (USA)	jr_ra=2221 spans=3 concentration=0.70 largest=[0x6a77f4,0x7b1b84)
MULTI_SPAN	Turok 2 - Seeds of Evil (Europe) (En,Fr,Es,It)	jr_ra=3817 spans=2 concentration=0.75 largest=[0x878,0xd6004)
MULTI_SPAN	Viewpoint 2064 (USA) (Unreleased)	jr_ra=3809 spans=2 concentration=0.74 largest=[0x878,0xd40c4)
MULTI_SPAN	WCW Mayhem (USA)	jr_ra=978 spans=3 concentration=0.79 largest=[0x878,0x3842c)
MULTI_SPAN	WCW vs. nWo - World Tour (USA) (Rev A)	jr_ra=2108 spans=2 concentration=0.63 largest=[0xa21958,0xabf848)
MULTI_SPAN	Yoshi's Story (Europe) (En,Fr,De)	jr_ra=11929 spans=3 concentration=0.41 largest=[0xba4b18,0xd5e580)
SINGLE_BANK	007 - GoldenEye (Europe)	jr_ra=3894 spans=1 concentration=1.00 largest=[0x878,0x1047e0)
SINGLE_BANK	007 - The World Is Not Enough (Europe) (En,Fr,De)	jr_ra=2093 spans=2 concentration=1.00 largest=[0x878,0xf9d0c)
SINGLE_BANK	AeroGauge (USA)	jr_ra=1424 spans=1 concentration=1.00 largest=[0x878,0x7f484)
SINGLE_BANK	Air Boarder 64 (Europe)	jr_ra=959 spans=1 concentration=1.00 largest=[0x878,0xa3ed4)
SINGLE_BANK	All Star Tennis 99 (USA)	jr_ra=644 spans=1 concentration=1.00 largest=[0x878,0x4f454)
SINGLE_BANK	Armorines - Project S.W.A.R.M. (USA)	jr_ra=4270 spans=1 concentration=1.00 largest=[0x878,0xfd314)
SINGLE_BANK	Army Men - Air Combat (USA)	jr_ra=2287 spans=1 concentration=1.00 largest=[0x878,0xafcd4)
SINGLE_BANK	Army Men - Sarge's Heroes (USA)	jr_ra=2306 spans=2 concentration=0.98 largest=[0x878,0x96634)
SINGLE_BANK	Army Men - Sarge's Heroes 2 (USA)	jr_ra=2379 spans=2 concentration=0.99 largest=[0x878,0xa59b8)
SINGLE_BANK	Asteroids Hyper 64 (USA)	jr_ra=1352 spans=1 concentration=1.00 largest=[0x878,0x6ea0c)
SINGLE_BANK	Automobili Lamborghini (USA)	jr_ra=724 spans=2 concentration=1.00 largest=[0x878,0x88ce4)
SINGLE_BANK	Bakuretsu Muteki Bangaioh (Japan)	jr_ra=1617 spans=1 concentration=1.00 largest=[0x878,0x94674)
SINGLE_BANK	Banjo-Kazooie (Europe) (En,Fr,De)	jr_ra=82 spans=1 concentration=1.00 largest=[0x86c,0x5bd4)
SINGLE_BANK	Banjo-Tooie (Europe) (En,Fr,De,Es)	jr_ra=85 spans=1 concentration=1.00 largest=[0x97c,0x4df4)
SINGLE_BANK	Bassmasters 2000 (USA)	jr_ra=881 spans=1 concentration=1.00 largest=[0x878,0x6b8d4)
SINGLE_BANK	Batman of the Future - Return of the Joker (Europe) (En,Fr,De)	jr_ra=1596 spans=1 concentration=1.00 largest=[0x878,0xf2f20)
SINGLE_BANK	BattleTanx (USA)	jr_ra=1794 spans=1 concentration=1.00 largest=[0x878,0xb5548)
SINGLE_BANK	BattleTanx - Global Assault (USA)	jr_ra=1901 spans=1 concentration=1.00 largest=[0x878,0xa4494)
SINGLE_BANK	Beetle Adventure Racing! (USA) (En,Fr,De)	jr_ra=3701 spans=1 concentration=1.00 largest=[0x878,0x1869d4)
SINGLE_BANK	Bio F.R.E.A.K.S. (Europe)	jr_ra=2460 spans=1 concentration=1.00 largest=[0x878,0xfe050)
SINGLE_BANK	Blast Corps (USA) (Rev A)	jr_ra=69 spans=1 concentration=1.00 largest=[0x878,0x4a34)
SINGLE_BANK	Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl)	jr_ra=2281 spans=1 concentration=1.00 largest=[0x878,0xab084)
SINGLE_BANK	Bomberman 64 (USA)	jr_ra=2563 spans=2 concentration=0.99 largest=[0x878,0xb90a4)
SINGLE_BANK	Bomberman 64 - The Second Attack! (USA)	jr_ra=2569 spans=3 concentration=0.99 largest=[0x878,0x8e574)
SINGLE_BANK	Bomberman Hero (Europe)	jr_ra=5551 spans=1 concentration=1.00 largest=[0x878,0x20f55c)
SINGLE_BANK	Bottom of the 9th (USA)	jr_ra=2140 spans=1 concentration=1.00 largest=[0x878,0x1114b0)
SINGLE_BANK	Brunswick Circuit Pro Bowling (USA)	jr_ra=1829 spans=1 concentration=1.00 largest=[0x878,0x71aa4)
SINGLE_BANK	Buck Bumble (USA)	jr_ra=2117 spans=1 concentration=1.00 largest=[0x878,0xa8198)
SINGLE_BANK	Bug's Life, A (France)	jr_ra=1015 spans=1 concentration=1.00 largest=[0x878,0xa9454)
SINGLE_BANK	Bust-A-Move '99 (USA)	jr_ra=1032 spans=2 concentration=0.99 largest=[0x7f89c,0xb8fb4)
