# Load-mapping outcome per corpus ROM, measured 2026-08-05 over all 287.
#
# Produced by examples/probe_load_mapping via the same
# admitted_overlay_load_mappings_v1 path that raises NoUniqueAdmittedTable.
#
# The error name conflates TWO causes, which is why this file splits them:
#   ZERO_ADMITTED  admitted:0 -- no descriptor table was found at all
#   AMBIGUOUS_<n>  admitted:n -- several tables, discovery refuses to pick
#
# Totals: 26 MAPPINGS_OK, 246 ZERO_ADMITTED, 15 ambiguous.
# Ambiguity is NOT the bottleneck -- zero-admitted outnumbers it 16:1.
outcome	rom
AMBIGUOUS_12	Paper Mario (Europe) (En,Fr,De,Es)
AMBIGUOUS_2	Dual Heroes (USA)
AMBIGUOUS_2	Gex 3 - Deep Cover Gecko (Europe) (Fr,De)
AMBIGUOUS_2	Mario Party 3 (Europe) (En,Fr,De,Es)
AMBIGUOUS_2	Nagano Winter Olympics '98 (USA)
AMBIGUOUS_2	Ogre Battle 64 - Person of Lordly Caliber (USA) (Rev A)
AMBIGUOUS_2	Yoshi's Story (Europe) (En,Fr,De)
AMBIGUOUS_3	Bio F.R.E.A.K.S. (Europe)
AMBIGUOUS_3	Deadly Arts (USA)
AMBIGUOUS_3	John Romero's Daikatana (Europe) (En,Fr,De)
AMBIGUOUS_3	Mario Party 2 (Europe) (En,Fr,De,Es,It)
AMBIGUOUS_3	Pokemon Snap (France)
AMBIGUOUS_4	MRC - Multi Racing Championship (USA)
AMBIGUOUS_5	Super Smash Bros. (Europe) (En,Fr,De)
AMBIGUOUS_8	Mario Party (Europe) (En,Fr,De)
MAPPINGS_OK	Air Boarder 64 (Europe)
MAPPINGS_OK	Batman of the Future - Return of the Joker (Europe) (En,Fr,De)
MAPPINGS_OK	Big Mountain 2000 (USA)
MAPPINGS_OK	Bottom of the 9th (USA)
MAPPINGS_OK	Castlevania (Europe) (En,Fr,De)
MAPPINGS_OK	Cruis'n USA (USA) (Rev B)
MAPPINGS_OK	Dezaemon 3D (Japan)
MAPPINGS_OK	Fighter Destiny 2 (USA)
MAPPINGS_OK	Flying Dragon (USA)
MAPPINGS_OK	Gex 64 - Enter the Gecko (Europe)
MAPPINGS_OK	Kirby 64 - The Crystal Shards (Europe)
MAPPINGS_OK	Knife Edge - Nose Gunner (USA)
MAPPINGS_OK	Mario Golf (Europe)
MAPPINGS_OK	Mega Man 64 (USA)
MAPPINGS_OK	Mortal Kombat Trilogy (USA) (Rev A)
MAPPINGS_OK	NHL Blades of Steel '99 (USA)
MAPPINGS_OK	Off Road Challenge (USA)
MAPPINGS_OK	Rally Challenge 2000 (USA)
MAPPINGS_OK	SD Hiryuu no Ken Densetsu (Japan)
MAPPINGS_OK	Virtual Pro Wrestling 2 - Oudou Keishou (Japan)
MAPPINGS_OK	WCW Nitro (USA)
MAPPINGS_OK	WCW vs. nWo - World Tour (USA) (Rev A)
MAPPINGS_OK	WCW-nWo Revenge (USA)
MAPPINGS_OK	WWF No Mercy (USA) (Rev A)
MAPPINGS_OK	WWF WrestleMania 2000 (USA)
MAPPINGS_OK	Wave Race 64 (USA) (Rev A)
ZERO_ADMITTED	007 - GoldenEye (Europe)
ZERO_ADMITTED	007 - The World Is Not Enough (Europe) (En,Fr,De)
ZERO_ADMITTED	1080 TenEighty Snowboarding (Japan, USA) (En,Ja)
ZERO_ADMITTED	AeroGauge (USA)
ZERO_ADMITTED	All Star Tennis 99 (USA)
ZERO_ADMITTED	Armorines - Project S.W.A.R.M. (USA)
ZERO_ADMITTED	Army Men - Air Combat (USA)
ZERO_ADMITTED	Army Men - Sarge's Heroes (USA)
ZERO_ADMITTED	Army Men - Sarge's Heroes 2 (USA)
ZERO_ADMITTED	Asteroids Hyper 64 (USA)
ZERO_ADMITTED	Automobili Lamborghini (USA)
ZERO_ADMITTED	Bakuretsu Muteki Bangaioh (Japan)
ZERO_ADMITTED	Banjo-Kazooie (Europe) (En,Fr,De)
ZERO_ADMITTED	Banjo-Tooie (Europe) (En,Fr,De,Es)
ZERO_ADMITTED	Bassmasters 2000 (USA)
ZERO_ADMITTED	BattleTanx (USA)
ZERO_ADMITTED	BattleTanx - Global Assault (USA)
ZERO_ADMITTED	Battlezone - Rise of the Black Dogs (USA)
