# Per-ROM metadata facts across the full 287-ROM corpus, 2026-08-05.
# Produced by examples/probe_rom_facts.rs (one pass, ~7s wall clock).
#
# Columns: rom, code_span_class, span_concentration, table_outcome,
#          candidate_tables, admitted_tables, container_streams, schemes
#
# TWO KINDS OF FACT, and reading them together is the point:
#   code_span / containers  PERMANENT properties of the image. They do
#                           not move as fn64 improves, so they bound what
#                           is even findable.
#   table_outcome           CURRENT BUILD capability. Moves as descriptor
#                           families are added.
#
# Distributions:
#   code span     SingleBank 232   MultiSpan 32   MostlySingleBank 23
#   table search  NoCandidates 229  UniqueTable 29  Ambiguous 19
#                 CandidatesNoneAdmitted 10
#   containers    none 233  Gzip 39  Mio0 10  Gzip+Mio0 3  Gzip+Yaz0 2
#
# THE JOINT VIEW -- of the 239 ROMs with no usable table:
#   217  COMPLETE: single-bank, no overlay geometry to recover
#    22  MISS: multi-span, code the overlay search did not account for
#
# So the real overlay-discovery work list is 22 ROMs. Earlier planning in
# this session put it at 229 -- a 10x overcount -- because 'no table
# found' was not separable from 'no table exists'.
#
# Corroboration: OoT reports Yaz0:1457, matching the 1457/1510 compressed
# dmadata entries measured independently. Mario Kart 64 reports Mio0:3354,
# matching its separately counted MIO0 stream total.
#
# CAVEAT: SingleBank is a weak signal, not proof of absence. WM2000 is
# SingleBank at 1.00 and HAS overlays -- they load from inside the same
# span. Sound in aggregate, unsound as a per-ROM verdict.
rom	code_span	concentration	table_outcome	candidates	admitted	streams	schemes
007 - GoldenEye (Europe)	SingleBank	1.00	NoCandidates	0	0	1	Gzip:1
007 - The World Is Not Enough (Europe) (En,Fr,De)	SingleBank	1.00	UniqueTable	4	1	0	-
1080 TenEighty Snowboarding (Japan, USA) (En,Ja)	MostlySingleBank	0.84	NoCandidates	0	0	1	Gzip:1
AeroGauge (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Air Boarder 64 (Europe)	SingleBank	1.00	UniqueTable	2	1	0	-
All Star Tennis 99 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Armorines - Project S.W.A.R.M. (USA)	SingleBank	1.00	NoCandidates	0	0	1	Gzip:1
Army Men - Air Combat (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Army Men - Sarge's Heroes (USA)	SingleBank	0.98	NoCandidates	0	0	0	-
Army Men - Sarge's Heroes 2 (USA)	SingleBank	0.99	NoCandidates	0	0	0	-
Asteroids Hyper 64 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Automobili Lamborghini (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Bakuretsu Muteki Bangaioh (Japan)	SingleBank	1.00	NoCandidates	0	0	0	-
Banjo-Kazooie (Europe) (En,Fr,De)	SingleBank	1.00	NoCandidates	0	0	0	-
Banjo-Tooie (Europe) (En,Fr,De,Es)	SingleBank	1.00	NoCandidates	0	0	0	-
Bassmasters 2000 (USA)	SingleBank	1.00	NoCandidates	0	0	4	Gzip:4
Batman of the Future - Return of the Joker (Europe) (En,Fr,De)	SingleBank	1.00	AmbiguousTables { admitted: 6 }	48	6	0	-
BattleTanx (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
BattleTanx - Global Assault (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Battlezone - Rise of the Black Dogs (USA)	MultiSpan	0.72	NoCandidates	0	0	0	-
Beetle Adventure Racing! (USA) (En,Fr,De)	SingleBank	1.00	NoCandidates	0	0	1861	Mio0:1861
Big Mountain 2000 (USA)	MultiSpan	0.59	UniqueTable	14	1	0	-
Bio F.R.E.A.K.S. (Europe)	SingleBank	1.00	AmbiguousTables { admitted: 3 }	6	3	0	-
Blast Corps (USA) (Rev A)	SingleBank	1.00	NoCandidates	0	0	270	Gzip:270
Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl)	SingleBank	1.00	NoCandidates	0	0	0	-
Body Harvest (Europe) (En,Fr,De)	MostlySingleBank	0.88	NoCandidates	0	0	161	Mio0:161
Bomberman 64 (USA)	SingleBank	0.99	NoCandidates	0	0	0	-
Bomberman 64 - The Second Attack! (USA)	SingleBank	0.99	NoCandidates	0	0	0	-
Bomberman Hero (Europe)	SingleBank	1.00	CandidatesNoneAdmitted	1	0	0	-
Bottom of the 9th (USA)	SingleBank	1.00	UniqueTable	40	1	0	-
Brunswick Circuit Pro Bowling (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Buck Bumble (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Bug's Life, A (France)	SingleBank	1.00	NoCandidates	0	0	1	Gzip:1
Bust-A-Move '99 (USA)	SingleBank	0.99	NoCandidates	0	0	0	-
Bust-A-Move 2 - Arcade Edition (USA)	SingleBank	1.00	NoCandidates	0	0	4	Gzip:4
California Speed (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Carmageddon 64 (Europe) (En,Fr,De,Es)	SingleBank	1.00	NoCandidates	0	0	0	-
Castlevania (Europe) (En,Fr,De)	MultiSpan	0.72	UniqueTable	8	1	0	-
Castlevania - Legacy of Darkness (Europe) (En,Fr,De)	MultiSpan	0.64	NoCandidates	0	0	0	-
Centre Court Tennis (Europe)	SingleBank	1.00	NoCandidates	0	0	0	-
Chameleon Twist (USA) (Rev A)	SingleBank	1.00	NoCandidates	0	0	0	-
