rom	tables_before	intervals_before	tables_after	intervals_after
007 - GoldenEye (Europe)	0	0	0	0
007 - The World Is Not Enough (Europe) (En,Fr,De)	0	0	0	0
1080 TenEighty Snowboarding (Japan, USA) (En,Ja)	0	0	0	0
AeroGauge (USA)	0	0	0	0
Air Boarder 64 (Europe)	1	8	1	8
All Star Tennis 99 (USA)	0	0	0	0
Armorines - Project S.W.A.R.M. (USA)	0	0	0	0
Army Men - Air Combat (USA)	0	0	0	0
Army Men - Sarge's Heroes (USA)	0	0	0	0
Army Men - Sarge's Heroes 2 (USA)	0	0	0	0
Asteroids Hyper 64 (USA)	0	0	0	0
Automobili Lamborghini (USA)	0	0	0	0
Bakuretsu Muteki Bangaioh (Japan)	0	0	0	0
Banjo-Kazooie (Europe) (En,Fr,De)	0	0	0	0
Banjo-Tooie (Europe) (En,Fr,De,Es)	0	0	0	0
Bassmasters 2000 (USA)	0	0	0	0
Batman of the Future - Return of the Joker (Europe) (En,Fr,De)	2	5	2	5
BattleTanx (USA)	0	0	0	0
BattleTanx - Global Assault (USA)	0	0	0	0
Battlezone - Rise of the Black Dogs (USA)	0	0	0	0
Beetle Adventure Racing! (USA) (En,Fr,De)	0	0	0	0
Big Mountain 2000 (USA)	2	24	2	24
Bio F.R.E.A.K.S. (Europe)	3	9	4	11
Blast Corps (USA) (Rev A)	0	0	0	0
Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl)	0	0	0	0
Body Harvest (Europe) (En,Fr,De)	0	0	0	0
Bomberman 64 (USA)	0	0	0	0
Bomberman 64 - The Second Attack! (USA)	0	0	0	0
Bomberman Hero (Europe)	0	0	0	0
Bottom of the 9th (USA)	4	10	4	10
Brunswick Circuit Pro Bowling (USA)	0	0	0	0
Buck Bumble (USA)	0	0	0	0
Bug's Life, A (France)	0	0	0	0
Bust-A-Move '99 (USA)	0	0	0	0
Bust-A-Move 2 - Arcade Edition (USA)	0	0	0	0
California Speed (USA)	0	0	0	0
Carmageddon 64 (Europe) (En,Fr,De,Es)	0	0	0	0
Castlevania (Europe) (En,Fr,De)	2	7	2	7
Castlevania - Legacy of Darkness (Europe) (En,Fr,De)	0	0	0	0
Centre Court Tennis (Europe)	0	0	0	0
Chameleon Twist (USA) (Rev A)	0	0	0	0
Chameleon Twist 2 (USA)	0	0	0	0
Charlie Blast's Territory (USA)	0	0	0	0
Chopper Attack (USA)	0	0	0	0
Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan)	0	0	0	0
Clay Fighter - Sculptor's Cut (USA)	0	0	0	0
Clay Fighter 63 1-3 (USA)	0	0	0	0
Command & Conquer (Europe) (En,Fr)	0	0	0	0
Conker's Bad Fur Day (U) [Trad-FR]	0	0	0	0
Conker's Bad Fur Day (Uncensored)	0	0	0	0
Cruis'n Exotica (USA)	0	0	0	0
Cruis'n USA (USA) (Rev B)	1	3	2	3
Cruis'n World (USA)	0	0	0	0
CyberTiger (USA)	0	0	0	0
Dark Rift (USA)	0	0	0	0
Deadly Arts (USA)	4	11	4	11
Densha de Go! 64 (Japan)	0	0	0	0
Destruction Derby 64 (USA)	0	0	0	0
Dezaemon 3D (Japan)	0	0	1	2
Diddy Kong Racing (USA) (En,Fr) (Rev A)	0	0	0	0
Dinomod_Enhanced_2022-09-08	0	0	0	0
Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It)	0	0	0	0
Donkey Kong 64 (Europe) (En,Fr,De,Es)	0	0	0	0
Doom 64 (USA) (Rev A)	0	0	0	0
Dr. Mario 64 (USA)	0	0	0	0
Dragon Sword 64 (USA) (Proto)	0	0	0	0
Dual Heroes (USA)	1	9	4	16
Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es)	0	0	0	0
Duke Nukem - Zero Hour (France)	0	0	0	0
Duke Nukem 64 (France)	0	0	0	0
ECW Hardcore Revolution (USA)	0	0	0	0
Earthworm Jim 3D (Europe) (En,Fr,De,Es,It)	0	0	0	0
Excitebike 64 (USA) (Rev A)	0	0	0	0
Extreme-G (USA)	0	0	0	0
F-1 World Grand Prix (France)	0	0	0	0
F-1 World Grand Prix II (Europe) (En,Fr,De,Es)	0	0	0	0
F-Zero X (USA)	0	0	0	0
F1 Pole Position 64 (USA) (En,Fr,De)	0	0	0	0
F1 Racing Championship (Europe) (En,Fr,De,Es,It)	0	0	0	0
FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv)	0	0	0	0
FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)	0	0	0	0
FIFA Soccer 64 (USA) (En,Fr,De)	0	0	0	0
Fighter Destiny 2 (USA)	3	8	3	8
Fighters Destiny (USA)	0	0	0	0
Fighting Force 64 (USA)	0	0	0	0
Flying Dragon (USA)	3	40	4	42
Forsaken 64 (USA)	0	0	0	0
Fox Sports College Hoops '99 (USA)	0	0	0	0
GT64 - Championship Edition (USA)	0	0	0	0
Gauntlet Legends (Europe)	0	0	0	0
Gex 3 - Deep Cover Gecko (Europe) (Fr,De)	0	0	3	5
Gex 64 - Enter the Gecko (Europe)	4	13	4	13
Glover (USA)	0	0	0	0
Goemon's Great Adventure (USA)	0	0	0	0
Harvest Moon 64 (USA)	0	0	0	0
Hercules - The Legendary Journeys (Europe) (En,Fr,De,Es,It,Nl)	0	0	0	0
Hexen (France)	0	0	0	0
Hot Wheels - Turbo Racing (USA)	0	0	0	0
Hybrid Heaven (USA)	0	0	0	0
Hydro Thunder (USA)	0	0	0	0
Iggy's Reckin' Balls (USA)	0	0	0	0
In-Fisherman - Bass Hunter 64 (USA)	0	0	0	0
Indiana Jones and the Infernal Machine (USA)	0	0	0	0
Indy Racing 2000 (USA)	0	0	0	0
International Superstar Soccer '98 (USA)	0	0	0	0
International Superstar Soccer 2000 (Europe) (Fr,It)	0	0	0	0
International Superstar Soccer 64 (USA)	0	0	0	0
International Track & Field 2000 (USA)	0	0	0	0
Jeremy McGrath Supercross 2000 (USA)	0	0	0	0
Jet Force Gemini (Europe) (En,Fr,De,Es)	0	0	0	0
John Romero's Daikatana (Europe) (En,Fr,De)	7	43	17	53
Ken Griffey Jr.'s Slugfest (USA)	0	0	0	0
Killer Instinct Gold (USA) (Rev B)	0	0	0	0
Kirby 64 - The Crystal Shards (Europe)	1	19	1	19
Knife Edge - Nose Gunner (USA)	0	0	2	3
Knockout Kings 2000 (USA)	0	0	0	0
Kobe Bryant's NBA Courtside (USA)	0	0	0	0
LEGO Racers (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)	0	0	0	0
Legend of Zelda, The - Majora's Mask (Europe) (En,Fr,De,Es) (Rev A)	0	0	0	0
Legend of Zelda, The - Ocarina of Time (Europe) (En,Fr,De) (Rev A)	0	0	0	0
Lode Runner 3-D (USA)	0	0	0	0
Lylat Wars (Europe) (En,Fr,De)	0	0	0	0
MRC - Multi Racing Championship (USA)	6	36	8	38
Mace - The Dark Age (USA)	0	0	0	0
Madden Football 64 (USA)	0	0	0	0
Magical Tetris Challenge (USA)	0	0	0	0
Mario Golf (Europe)	2	10	2	10
Mario Kart 64 (Europe) (Rev A)	0	0	0	0
Mario Party (Europe) (En,Fr,De)	8	94	9	96
Mario Party 2 (Europe) (En,Fr,De,Es,It)	5	107	6	109
Mario Party 3 (Europe) (En,Fr,De,Es)	6	124	6	124
Mario Tennis (Europe)	0	0	0	0
Mega Man 64 (USA)	1	29	1	29
Mia Hamm Soccer 64 (USA) (En,Es)	0	0	0	0
Mickey's Speedway USA (Europe) (En,Fr,De,Es,It)	0	0	0	0
Micro Machines 64 Turbo (USA)	0	0	0	0
Midway's Greatest Arcade Hits - Volume 1 (USA)	0	0	0	0
Mike Piazza's StrikeZone (USA)	0	0	0	0
Milo's Astro Lanes (USA)	0	0	0	0
Mischief Makers (USA) (Rev A)	0	0	0	0
Mission Impossible (France)	0	0	0	0
Monaco Grand Prix (USA)	0	0	0	0
Monster Truck Madness 64 (USA)	0	0	0	0
Mortal Kombat 4 (USA)	0	0	0	0
Mortal Kombat Mythologies - Sub-Zero (USA)	0	0	0	0
Mortal Kombat Trilogy (USA) (Rev A)	0	0	4	16
Ms. Pac-Man - Maze Madness (USA)	0	0	0	0
Mystical Ninja Starring Goemon (Europe)	0	0	0	0
NASCAR 2000 (USA)	0	0	0	0
NASCAR 99 (USA)	0	0	0	0
NBA Courtside 2 featuring Kobe Bryant (USA)	0	0	0	0
NBA Hangtime (USA)	0	0	0	0
NBA Jam 2000 (USA)	0	0	0	0
NBA Jam 99 (USA)	0	0	0	0
NBA Live 2000 (USA) (En,Fr,De,Es)	0	0	0	0
NBA Live 99 (USA) (En,Fr,De,Es,It)	0	0	0	0
NBA Showtime - NBA on NBC (USA)	0	0	0	0
NBA in the Zone '98 (USA)	0	0	0	0
NBA in the Zone '99 (USA)	0	0	0	0
NBA in the Zone 2000 (USA)	0	0	0	0
NHL 99 (USA)	0	0	0	0
NHL Blades of Steel '99 (USA)	1	3	4	3
NHL Breakaway 98 (USA)	0	0	0	0
NHL Breakaway 99 (USA)	0	0	0	0
Nagano Winter Olympics '98 (USA)	0	0	2	4
Namco Museum 64 (USA)	0	0	0	0
New Tetris, The (USA)	0	0	0	0
Nightmare Creatures (USA)	0	0	0	0
Nuclear Strike 64 (USA)	0	0	0	0
Off Road Challenge (USA)	0	0	1	41
Ogre Battle 64 - Person of Lordly Caliber (USA) (Rev A)	2	17	2	17
Olympic Hockey 98 (USA)	0	0	0	0
PGA European Tour (USA)	0	0	0	0
Paper Mario (Europe) (En,Fr,De,Es)	34	326	54	353
Paperboy (USA)	0	0	0	0
Penny Racers (USA)	0	0	0	0
Perfect Dark (Europe) (En,Fr,De,Es,It)	0	0	0	0
Pilotwings 64 (Europe) (En,Fr,De)	0	0	0	0
Pokemon Puzzle League (France)	0	0	0	0
Pokemon Snap (France)	3	28	3	28
Pokemon Stadium (France)	0	0	0	0
Pokemon Stadium 2 (France)	0	0	0	0
Polaris SnoCross (USA)	0	0	0	0
Power Rangers - Lightspeed Rescue (USA)	0	0	0	0
Powerpuff Girls, The - Chemical X-Traction (USA)	0	0	0	0
Puyo Puyo 4 - Puyo Puyon Party (Japan)	0	0	0	0
Quake 64 (USA)	0	0	0	0
Quake II (USA)	0	0	0	0
Quest 64 (USA)	0	0	0	0
RR64 - Ridge Racer 64 (USA)	0	0	0	0
Rally Challenge 2000 (USA)	2	6	2	6
Rampage - World Tour (USA)	0	0	0	0
Rampage 2 - Universal Tour (USA)	0	0	0	0
Rat Attack! (USA) (En,Fr,De,Es,It,Nl)	0	0	0	0
Rayman 2 - The Great Escape (USA) (En,Fr,De,Es,It)	0	0	0	0
Razmoket, Les - La Chasse aux Tresors (France)	0	0	0	0
Razor Freestyle Scooter (USA)	0	0	0	0
Re-Volt (USA)	0	0	0	0
Ready 2 Rumble Boxing (Europe) (En,Fr,De)	0	0	0	0
Ready 2 Rumble Boxing (USA)	0	0	0	0
Resident Evil 2 (Europe) (En,Fr)	0	0	0	0
Road Rash 64 (USA)	0	0	0	0
Roadsters (USA) (En,Fr,Es)	0	0	0	0
Robotron 64 (USA)	0	0	0	0
Rocket - Robot on Wheels (USA)	0	0	0	0
Rugrats in Paris - The Movie (Europe)	0	0	0	0
Rush 2 - Extreme Racing USA (USA)	0	0	0	0
S.C.A.R.S. (USA)	0	0	0	0
SD Hiryuu no Ken Densetsu (Japan)	0	0	2	17
San Francisco Rush - Extreme Racing (USA) (En,Fr,De) (Rev A)	0	0	0	0
San Francisco Rush 2049 (USA)	0	0	0	0
Scooby-Doo! - Classic Creep Capers (Europe)	0	0	0	0
Shadow Man (France)	0	0	0	0
Shadowgate 64 - Trials of the Four Towers (Europe) (Fr,De,Nl)	0	0	0	0
Sin and Punishment - Successor of the Earth (Japan) [Trad-En]	0	0	0	0
Snowboard Kids (USA)	0	0	0	0
Snowboard Kids 2 (USA)	0	0	0	0
South Park (Europe) (En,Fr,Es)	0	0	0	0
South Park - Chef's Luv Shack (USA)	0	0	0	0
South Park Rally (Europe)	0	0	0	0
Space Invaders (USA)	0	0	0	0
SpaceStation Silicon Valley (USA)	0	0	0	0
Spider-Man (USA)	0	0	0	0
Star Soldier - Vanishing Earth (USA)	0	0	0	0
Star Wars - Rogue Squadron (Europe) (En,Fr,De) (Rev A)	0	0	0	0
Star Wars - Shadows of the Empire (Europe)	0	0	0	0
Star Wars Episode I - Battle for Naboo (Europe)	0	0	0	0
Star Wars Episode I - Racer (Europe) (En,Fr,De)	0	0	0	0
StarCraft 64 (USA)	0	0	0	0
Starshot - Space Circus Fever (USA) (En,Fr,Es)	0	0	0	0
Stunt Racer 64 (USA)	0	0	0	0
Super Bowling (USA)	0	0	0	0
Super Mario 64 (Europe) (En,Fr,De)	0	0	0	0
Super Mario 64 (USA)	0	0	0	0
Super Smash Bros. (Europe) (En,Fr,De)	11	86	11	86
Supercross 2000 (USA)	0	0	0	0
Superman (Europe) (En,Fr,De,Es,It,Nl)	0	0	0	0
Tarzan (France)	0	0	0	0
Taz Express (Europe) (En,Fr,De,Es,It,Nl)	0	0	0	0
Tetrisphere (USA)	0	0	0	0
Tigger's Honey Hunt (USA)	0	0	0	0
Tom Clancy's Rainbow Six (France)	0	0	0	0
Tom and Jerry in Fists of Furry (Europe) (En,Fr,De,Es,It,Nl)	0	0	0	0
Tonic Trouble (Europe) (En,Fr,De,Es,It)	0	0	0	0
Tony Hawk's Pro Skater (USA) (Rev A)	0	0	0	0
Tony Hawk's Pro Skater 2 (USA)	0	0	0	0
Tony Hawk's Pro Skater 3 (USA)	0	0	0	0
Top Gear Hyper-Bike (USA)	0	0	0	0
Top Gear Overdrive (USA)	0	0	0	0
Top Gear Rally (USA)	0	0	0	0
Top Gear Rally 2 (USA)	0	0	0	0
Toy Story 2 - Buzz l'Eclair a la Rescousse! (France)	0	0	0	0
Transformers - Beast Wars Transmetals (USA)	0	0	0	0
Triple Play 2000 (USA)	0	0	0	0
Turok - Dinosaur Hunter (Europe) (Rev A)	0	0	0	0
Turok - Rage Wars (Europe) (En,Fr,It)	0	0	0	0
Turok 2 - Seeds of Evil (Europe) (En,Fr,Es,It)	0	0	0	0
Turok 3 - Shadow of Oblivion (Europe)	0	0	0	0
Twisted Edge - Extreme Snowboarding (USA)	0	0	0	0
V-Rally Edition 99 (Europe) (En,Fr,De)	0	0	0	0
Viewpoint 2064 (USA) (Unreleased)	0	0	0	0
Vigilante 8 (France)	0	0	0	0
Vigilante 8 - 2nd Offense (USA)	0	0	0	0
Virtual Pool 64 (USA)	0	0	0	0
Virtual Pro Wrestling 2 - Oudou Keishou (Japan)	1	4	1	4
WCW Backstage Assault (USA)	0	0	0	0
WCW Mayhem (USA)	0	0	0	0
WCW Nitro (USA)	4	176	4	176
WCW vs. nWo - World Tour (USA) (Rev A)	0	0	1	2
WCW-nWo Revenge (USA)	0	0	1	2
WWF Attitude (USA)	0	0	0	0
WWF No Mercy (USA) (Rev A)	1	5	1	5
WWF War Zone (USA)	0	0	0	0
WWF WrestleMania 2000 (USA)	1	4	2	7
Waialae Country Club - True Golf Classics (USA) (Rev A)	0	0	0	0
War Gods (Europe)	0	0	0	0
Wave Race 64 (USA) (Rev A)	2	6	2	6
Wayne Gretzky's 3D Hockey '98 (USA)	0	0	0	0
Wayne Gretzky's 3D Hockey (USA) (Rev A)	0	0	0	0
Wetrix (USA) (En,Fr,De,Es,It,Nl)	0	0	0	0
WinBack - Covert Operations (USA)	0	0	0	0
Wipeout 64 (Europe)	0	0	0	0
World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv,Da)	0	0	0	0
World Driver Championship (USA)	0	0	0	0
Worms Armageddon (USA) (En,Fr,Es)	0	0	0	0
Xena - Warrior Princess - The Talisman of Fate (Europe)	0	0	0	0
Yoshi's Story (Europe) (En,Fr,De)	6	16	7	16
