# Source: aki-recomp/games/NWXE/syms/dump.toml
# Sections: entry and main_1050 (resident ROM 0x1000..0x4C0C0, VA 0x80000400..0x8004B4C0)
# Generated there by aki_profile.gen_symbols from games/NWXE/disasm/asm/1000.s and 1050.s
# Canonical ROM: NWXE, MD5 d9030ca30e4d1af805acce1bfed988cc, SHA1 442d417a52ed672ca1a47e7261a5414debb1e27a
name,va_start,size
func_80000400,80000400,3c
func_80000450,80000450,4
func_80000460,80000460,70
func_800004D0,800004d0,e4
func_800005B4,800005b4,10
func_800005C4,800005c4,2c
func_800005F0,800005f0,24
func_80000614,80000614,34
func_80000648,80000648,c
func_80000654,80000654,c
func_80000660,80000660,e4
func_80000744,80000744,12c
func_80000870,80000870,28
func_80000898,80000898,108
func_800009A0,800009a0,e8
func_80000A88,80000a88,a4
func_80000B30,80000b30,2a8
func_80000DD8,80000dd8,78
func_80000E50,80000e50,80
func_80000ED0,80000ed0,c
func_80000EDC,80000edc,118
func_80000FF4,80000ff4,24
func_80001018,80001018,c
func_80001024,80001024,138
func_8000115C,8000115c,24
func_80001180,80001180,1e8
func_80001368,80001368,18
func_80001380,80001380,84
func_80001410,80001410,298
func_800016A8,800016a8,24
func_800016CC,800016cc,10
func_800016DC,800016dc,64
func_80001740,80001740,6c
func_800017AC,800017ac,68
func_80001814,80001814,60
func_80001874,80001874,54
func_800018C8,800018c8,34
func_800018FC,800018fc,60
func_8000195C,8000195c,f0
func_80001A4C,80001a4c,f4
func_80001B40,80001b40,1a4
func_80001CE4,80001ce4,6c
func_80001D50,80001d50,2f8
func_80002048,80002048,404
func_8000244C,8000244c,11c
func_80002568,80002568,70
func_800025D8,800025d8,128
func_80002700,80002700,f8
func_800027F8,800027f8,208
func_80002A00,80002a00,184
func_80002B84,80002b84,2bc
func_80002E40,80002e40,2e0
func_80003120,80003120,1c0
func_800032E0,800032e0,c
func_800032EC,800032ec,44
func_80003330,80003330,44
func_80003374,80003374,1c
func_80003390,80003390,44
func_800033D4,800033d4,2b0
func_80003684,80003684,30
func_800036B4,800036b4,60
func_80003720,80003720,224
func_80003944,80003944,20
func_80003964,80003964,40
func_800039A4,800039a4,30
func_800039D4,800039d4,20
func_800039F4,800039f4,20
func_80003A14,80003a14,50
func_80003A64,80003a64,30
func_80003A94,80003a94,54
func_80003AE8,80003ae8,b4
func_80003B9C,80003b9c,38
func_80003BD4,80003bd4,60
func_80003C34,80003c34,14
func_80003C48,80003c48,64
func_80003CAC,80003cac,8
func_80003CB4,80003cb4,8
func_80003CC0,80003cc0,114
func_80003DD4,80003dd4,c4
func_80003E98,80003e98,168
func_80004000,80004000,124
func_80004130,80004130,f8
func_80004228,80004228,26c
func_80004494,80004494,28
func_800044BC,800044bc,14
func_800044D0,800044d0,158
func_80004628,80004628,3c0
func_800049E8,800049e8,c
func_800049F4,800049f4,44
func_80004A38,80004a38,2c
func_80004A64,80004a64,e0
func_80004B44,80004b44,30
func_80004B74,80004b74,40
func_80004BB4,80004bb4,44
func_80004BF8,80004bf8,d8
func_80004CD0,80004cd0,3c
func_80004D0C,80004d0c,54
func_80004D60,80004d60,248
func_80004FA8,80004fa8,280
func_80005228,80005228,3ac
func_800055D4,800055d4,3c4
