name,va_start
entrypoint,80000400
bootclear,80000460
bootproc,80000498
Main_ThreadEntry,800005a0
Idle_ThreadEntry,8000063c
DmaMgr_StrCmp,800007f0
DmaMgr_DmaRomToRam,8000085c
DmaMgr_AudioDmaHandler,800009e0
DmaMgr_DmaFromDriveRom,80000a54
DmaMgr_GetFileName,80000af8
DmaMgr_ProcessRequest,80000b0c
DmaMgr_ThreadEntry,80000ca8
DmaMgr_RequestAsync,80000d28
DmaMgr_RequestSync,80000df0
DmaMgr_Init,80000e6c
Yaz0_FirstDMA,80000f60
Yaz0_NextDMA,80001000
Yaz0_DecompressImpl,800010ec
Yaz0_Decompress,80001254
Locale_Init,800012a0
Locale_ResetRegion,80001310
CIC6105_DisableAudio,80001320
CIC6105_EnableAudio,80001338
CIC6105_FaultClient,8000134c
CIC6105_AddFaultClient,80001438
CIC6105_RemoveFaultClient,8000146c
CIC6105_RunBootTask,80001490
CIC6105_Stub,80001564
CIC6105_SaveBootMagicValues,80001570
osSyncPrintfUnused,800015a0
osSyncPrintf,800015bc
rmonPrintf,800015d8
func_800015F4,800015f4
osDriveRomInit,80001600
Mio0_Decompress,800017e0
StackCheck_Init,80001890
StackCheck_Cleanup,80001948
StackCheck_Check,8000198c
LogUtils_CheckFloatRange,80001aa0
LogUtils_HungupThread,80001b38
LogUtils_ResetHungup,80001b84
Sleep_Cycles,80001bc0
Sleep_Nsec,80001c2c
Sleep_Usec,80001c7c
Sleep_Msec,80001ccc
Sleep_Sec,80001d20
__osPiCreateAccessQueue,80001d60
__osPiGetAccess,80001db0
__osPiRelAccess,80001df4
osSendMesg,80001e20
osStopThread,80001f70
osRecvMesg,80002030
__ull_rshift,80002170
__ull_rem,8000219c
__ull_div,800021d8
__ll_lshift,80002214
__ll_rem,80002240
__ll_div,8000227c
__ll_mul,800022d8
__ull_divremi,80002308
__ll_mod,80002368
__ll_rshift,80002404
__osExceptionPreamble,80002430
__osException,80002440
__osEnqueueAndYield,80002a4c
__osEnqueueThread,80002b4c
__osPopThread,80002b94
__osDispatchThread,80002ba4
__osCleanupThread,80002d20
__osDequeueThread,80002d30
osDestroyThread,80002d70
bzero,80002e80
osCreateThread,80002f20
osInitialize,80003070
__osSetSR,80003420
__osGetSR,80003430
osWritebackDCache,80003440
osViGetNextFramebuffer,800034c0
osCreatePiManager,80003500
__osDevMgrMain,80003680
__osPiRawStartDma,80003a90
osVirtualToPhysical,80003b60
osViBlack,80003be0
__osSiRawReadIo,80003c50
osGetThreadId,80003ca0
osSetIntMask,80003cc0
osViSetMode,80003d60
__osProbeTLB,80003dd0
osGetMemSize,80003e90
osSetEventMesg,80003fb0
osUnmapTLBAll,80004070
osEPiStartDma,800040c0
osInvalICache,800041a0
osCreateMesgQueue,80004220
osInvalDCache,80004250
__osSiDeviceBusy,80004300
osJamMesg,80004330
osSetThreadPri,80004480
osGetThreadPri,80004560
__osEPiRawReadIo,80004580
__osEPiRawStartDma,800046e0
osGetTime,800048c0
__osTimerServicesInit,80004950
__osTimerInterrupt,800049dc
__osSetTimerIntr,80004b54
__osInsertTimer,80004bc8
osGetCount,80004d50
__osSetGlobalIntMask,80004d60
__osSetCompare,80004db0
bcopy,80004dc0
__osResetGlobalIntMask,800050d0
__osDisableInt,80005130
__osRestoreInt,800051a0
__osViInit,800051c0
__osViSwapContext,80005300
osPiGetCmdQueue,80005600
osEPiReadIo,80005630
osCartRomInit,80005680
__osSetFpcCsr,800057e0
__osGetFpcCsr,800057f0
osEPiWriteIo,80005800
osMapTLBRdb,80005850
osYieldThread,800058b0
__osGetCause,80005900
__osEPiRawWriteIo,80005910
osSetTimer,80005a70
__osSiRawWriteIo,80005b50
osCreateViManager,80005ba0
viMgrMain,80005d20
__osViGetCurrentContext,80005eb0
osStartThread,80005ec0
__osSetHWIntrRoutine,80006010
__osGetHWIntrRoutine,80006080
rspbootTextStart,800060b0
rspbootTextEnd,80006210
cic6105TextEnd,80006230
